"";"id";"description";"DBO"
"8042";960887410616349;"Würden????? Hoppla";"nothing"
"532";1134099909961764;"silly woman from gdr";"nothing"
"2331";1052568721448217;"PEGIDA die STIMME der FRIEDLICHEN BÜRGER EUROPAS";"nothing"
"3788";1035123016526121;"Ja sind auch die einzigen! Die ossis sind ma immer sympathischer! Die Bayern sind alles pussys! Keiner traut sich was zu sagen. Uns geht's zu gut!!";"nothing"
"9130";991391747565915;"wahnsinn was bei euch jede woche abgeht";"nothing"
"1237";876259369079154;"Vielleicht sollte sich die BA mal lieber um die Leute kümmern die in Deutschland gar nicht arbeiten wollen. Und vielleicht sollte man endlich mal mehr in die Bildung unserer Kinder investieren, denn das wurde ja die letzten Jahre verschlafen.";"criticism"
"4599";1096373373734418;"Schade das einem das beim Mauerfall nicht eingefallen ist.......";"nothing"
"6259";882701285101629;"Rede Dir nichts ein,die vermehren sich eh zu schnell??";"nothing"
"8505";855492831155808;"Dann gründen Sie doch eine Partei wo Ihre Interessen vertreten werden ohne extremst rassistisch zu wirken.Immerhin haben Sie grad selber erwähnt, dass Sie sich ebenfalls davon distanzieren.Ich stoße immer und immer wieder auf Ausländerfeindlichkeit bei Pegida.Gehen Sie beispielsweise doch mal eben auf das Profil von Herrn Dormann.Der Herr will uns weismachen, dass Hitler Frieden wollte.Absolut realitätsfremd und megabraun!";"nothing"
"4130";985378574833899;"BERLIN ab nach BERLIN !!!!!!!!!!!!!!";"nothing"
"9022";1007229862648770;"Wladimir, du großer Bär! Komm endlich ganz raus aus deinem Versteck! Es warten soviele darauf!";"nothing"
"8807";945984825439941;"sofort rückführen";"nothing"
"106";1065802323458190;"da hab ich immer geschlafen :)";"nothing"
"8366";855126007859157;"[@IND]...einfach nicht auf das Niveau dieses Kindes einlassen. Sie wissen doch: ""Diskutiere nie mit dümmeren Leuten, sie werden dich auf ihr Level runterziehen und dich dann mit ihrer Erfahrung fertig machen."" -Mark Twain-";"nothing"
"6447";882703375101420;"Waren bestimmt wieder die Nazis !  ??";"nothing"
"4465";1105667946138294;"Jede Wette, ganz bestimmt nicht in Dresden. Die Mehrheit will das nicht, passt nicht hierher. Wäre grauenvoll, wenn wir erleben müssten wenn 4x täglich so ein Kasper vom Minarett runterschreit. Für die 40 Hansels völlig überzogen. Auch ein Bürgerentscheid würde dies schon klarstellen.";"criticism"
"4384";989380341100389;"Wir brauchen dringend mehr Mittel für Tische gegen Abgaswertemanipulation !!";"nothing"
"1923";1111312815573807;"Meine Mama kam als Flüchtling aus dem Sudetenland und mein Papa aus Ostpreußen, beide hatten Eigentum in ihrer Heimat und mussten alles stehn und liegen lassen,kamen in Thüringen nur mit ihren Klamotten am Körper an... das war MENSCHENUNWÜRDIG, liebe ehrenamtliche Flüchtlingshelfer";"nothing"
"6411";882703658434725;"Na dann melde dich doch freiwillig und nehme ein paar Fachkräfte bei dir zu Hause auf. Mal sehen ob du auch noch so darüber sprichst.";"nothing"
"2193";1043624092342680;"Ich habe mir mal gerade durchgelesen, worauf sich die Anzeige begründet. Frau Festerling hatte mit ihrer Aussage doch Recht! Die gesamte Politikerriege Deutschlands verstößt seit geraumer Zeit gegen das Verfassungsrecht, gegen die eigenen Bürger. Regen sich die Bürger zu Recht, darüber auf, werden sie von der Politikerriege als rechtsradikal betituliert. Das ist eindeutige Volksverhetzung! Die Medien schwimmen da auf gleicher Welle. Wurde Pegida noch vor einem halben Jahr als ""islamkritische Bewegung"" bezeichnet, hört man heute in den Medien nur noch, dass es sich dabei um eine ""islamfeindliche Bewegung"" handle. Großer Unterschied mit großer dahinterliegender Intention. Dies laste ich dann nun mal den entsprechenden Medien als Volksverhetzung an! Jetzt haben wir noch die Kirchen... die sollten sich mal schwer hüten aufgrund eigener Vergangenheit. Sie verstoßen im Übrigen gegen geltende Gesetze, wenn sie ausweisungspflichtige Asylanten bei sich aufnehmen. Ich würde anstelle von Frau Festerling über diese Anzeige nur lachen!";"agitation"
"7367";888080447897046;"Janda , also da schreibt manch ein deutscher schlimmer !!! Ich kann Atilla's kommentar lesen";"nothing"
"1783";1112468525458236;"Please, share this with all of Germany!

A woman's report, who speaks perfect Arabic and heard everything the i-migrants said on the train on their way from Hungary to Germany last year!

The whole West needs to see this!

(Please, turn CC on for English subtitles)

https://www.youtube.com/watch?time_continue=42&v=8U36fCE_vCE";"nothing"
"6927";1012898355415254;"Oskar Siwka Wo ist Pegida eine radikale Gruppierung? Die Gewaltbereiten standen meist auf der anderen Seite... Bei Pegida sind Menschen aus unterschiedlichsten Bevölkerungsschichten dabei.";"nothing"
"7725";1088447327860356;"In vielen Staaten Europas geht ein Gespenst um. Die Völker erwachen. Wann erfolgt das in Deutschland. War die AfD der Anfang ? Geht die EU den Bach runter. Wenn ja , hat Merkel den Hauptanteil gemacht. Die Flüchtlingskriese entzweit die EU. Hinter Merkels EU Politik steht kaum noch ein Staat. Und was sagte Steinmeier heute . ER findet das nicht in Ordnung das Staaten auf den Balkan die Grenzen geschlossen haben. Herr Steinmeier wir finden das GUT. Und viele andere AUCH !!!!";"criticism"
"4412";983237365048020;"Es werden doch sowieso alle durch die Grenzkontrollen gelassen, ist doch nur Alibi! Wieso werden dann extra Sonderzüge eingesetzt um die Asylanten in Österreich abzuholen und nach Deutschland zu bringen???!!!";"criticism"
"881";1064059643632458;"Jens Schumann richtig das waren Konsumgüter für den Westen. Möbel für Neckermann. Textilwaren, Schuhe Salamander wurde in Burg produziert. Keramik aus Haldensleben, Glaswaren aus Glashütte und,und und! Als es dann die DDR nicht mehr gab, war Schluss mit den qualitativ hochwertigen Konsumgütern. Was es dann zu kaufen gab ist meist nur noch Schrott.";"nothing"
"2208";1043670152338074;"Fünf Flüchtlinge aus Syrien und Ägypten sollen am Wochenende eine junge Frau in einem Kieler Veranstaltungszentrum „unsittlich berührt“ haben. Zeugen hatten die Polizei alarmiert, die die Verdächtigen kurze Zeit später stellten. Nach den Worten von Polizei-Sprecher Matthias Arends handelt es sich um Flüchtlinge aus zwei städtischen Einrichtungen…

http://www.kn-online.de/News/Aktuelle-Nachrichten-Schleswig-Holstein/Schleswig-Holstein/Nach-Uebergriffen-auf-Frauen-ermittelt-Landespolizei";"nothing"
"71";1065817270123362;"Das Sein bestimmt das Bewußtsein, Karl Marx, Staatsbürgerkunde DDR! Nicht Indoktrination verändert das Verhalten von Menschen, sondern ihre Lebensbedingungen bestimmen ihr Verhalten!";"nothing"
"3809";1035568876481535;"Hoben, wenn schon, denn schon";"nothing"
"4879";876301552408269;"Ich lach mich schlapp: der Wirtschaftsflüchtling läßt sich durch nix abhalten; die wirkliche Fachkraft hat andere Bezugspunkte, z.B. den neuen Arbeitgeber, Fachkollegen und Kunden...";"nothing"
"3166";982659408439149;"Alloha Snackbar... Ich brech zusammen ??????";"nothing"
"7473";1095920793779676;"Das kann doch alles nicht wahr sein.";"nothing"
"8405";855452237826534;"Schreibs doch aus...";"nothing"
"272";1065801513458271;"https://www.youtube.com/watch?v=ghU5UFI9IEw&feature=youtu.be  weiter verbreiten, die Frage ,, ""warum sind Sie dann durch zig Länder gereist gefahren worden ist dem Jounalisten natürlich nicht in den Sinn gekommen  mal zu fragen :( oder ist in ganz Südosteuropa Krieg?";"nothing"
"4952";876331895738568;"Zuwanderung, wie wir sie heutzutage so sehen, ist schädlich und wird Deutschland auf die Dauer finanziell nicht verkraften. Die Wahrheit ist, dass die von den Geldern der Steuerzahler leben und das für immer. Da brauch man nichts schön reden oder von Bereicherung! Wenn wirklich nur Fachkräfte kommen würden, dann wäre das ja ok.";"criticism"
"3839";1035531649818591;"Als Dresdnerin- Danke an meine Heimatstadt !";"nothing"
"6615";1012932065411883;"Stellt euch vor Bürger Deutschlands wollen überhaupt keine..mit Recht wie man tagtäglich sieht oder spürt";"nothing"
"8107";951534501551640;"Vielleicht? Das IST gewollt. Die Frage muss lauten: Zu welchem Zweck?";"nothing"
"6881";1012964955408594;"Wohl war.";"nothing"
"7002";1012902505414839;"soll die fresse halten.  die merken nur das sie noch mehr gehasst werden von den neuen Fachkräften als wir Christen.  leider zu spät Herr Schuster.";"nothing"
"8334";855687864469638;"wir werden sehen";"nothing"
"7758";1069521949752894;"Edward Jokop Sie haben vllt vergessen, dass Tillich schon seit 2009 im Amt ist - also wiedergewählt. Ihre Äußerungen sind dahingehend völlig verwirrend.";"nothing"
"3183";982656768439413;"Da es sich hierbei offensichtlich um einen kriegerischen Angriff auf das Mitgliedsland Ungarn handelt, sollte Orban nicht zögern, den Verteidigungsfall auszurufen. Laut Vertrag sind die übrigen NATO-Staaten zur Unterstützung verpflichtet.
Es wird nicht mehr lange dauern, bis die von Merkel unkontrolliert ins Land gelassenen gewaltbereiten Islamisten und Terroristen auch hier ihre wahren Absichten zeigen.
Man konnte Merkels Politik schon immer kritisieren. Doch ihre Entscheidung vom 5.9.2015, alle ""Flüchtlinge"" unkontrolliert ins Land zu lassen war schwerer Landesverrat gemäß §94 StGB, denn mit ihrer ""Einladung"" hat sie allen vor der Grenze wartenden Feinden der westlichen Zivilisation verraten, dass es keine Außensicherung der deutschen Grenzen mehr gibt.
Zudem hat sie neben dem Bruch europäischer Abkommen auch bundesdeutsche Gesetze eigenmächtig außer Kraft gesetzt. Damit hat sie gegen das Grundgesetz §§70 ff (Gesetzgebungsverfahren) verstoßen und die demokratische Grundordnung der BRD mit Füßen getreten. 
Frau Merkel ist von Gesetzes wegen sofort zu entmachten, ihre diplomatische Immunität aufzuheben. Anschließend ist sie zu verhaften und der Justiz zu übergeben.";"criticism"
"5316";1012235445481545;"Schweineblut in alle Getränke und speisen unter mischen und dan öffentlich machen dan verhungern die";"nothing"
"627";1121750364530052;"Bei den nächsten Wahlen wird ein einfaches Kreutz entscheiden in welchen Verhältnissen wir und die folgenden Generationen leben werden. Seid euch dessen stets bewusst!!!!!";"nothing"
"2674";982728911765532;"Veronika Vujica 100€ finde eine Frau/Kind im Video ????";"nothing"
"8438";855113614527063;"Friede auf deinem Weg, mein Kind.... möge das Licht deiner überragenden Intelligenz deine Dunkelheit erleuchten!";"nothing"
"4109";985381621500261;"Ich bin stolz auf jeden der dabei war...";"nothing"
"7880";962345310470559;"Ist PI-News wieder da? Momentan erscheint da so ein Standardbild, wie bei einer herrenlosen Domain plus einigen Links, die wohl hilfreich gemeint sind.";"nothing"
"7469";1095902123781543;"Ekelhaftes Pack!";"nothing"
"9186";993615430676880;"Überhaupt nocht. Was für ein hydterischer anfall und was soll deiner meinung das echte problem sein?";"nothing"
"2009";1120173651354390;"Ach was, werden diese ""Journalisten"" jetzt schon wütend, weil ihren Schmutz niemand mehr lesen will ?";"nothing"
"5197";876405815731176;"Und wieviel von de zuwanderer sind reäl Fachkräfte. ..1, 7 %

Ausbilden ist das zauberwort";"nothing"
"4348";985461664825590;"Du wirst in der Presse sowieso nix erfahren. Man muss dabei sein.";"nothing"
"8160";855580131147078;"klar s. frings, da könnten sie wenigsten mit teilnehmerzahlen prahlen.";"nothing"
"8921";945899472115143;"hurra und ich schick sie ins p1 und wehe die türsteher sind nicht migranten freundlich";"nothing"
"4171";991238067581283;"Viele Grüße aus SH nach Dresden...ihr Rockt??????????";"nothing"
"3117";1056912861013803;"Nur Show mehr nicht,,,,,,bestimmt nur Kinder und Frauen nach Hause geschickz";"nothing"
"6493";882677708437320;"jo TOT gefallen sie mir auch am besten :)";"nothing"
"8491";855582977813460;"super video! macht weiter so! :-)";"nothing"
"2760";982881701750253;"Einer der mutig genug ist mit seinem wahren profil seine Meinung zu äußern  und nicht wie du feige Ratte mit einem fake account hier auf Internet Polizei machst. Ich werde nicht mehr auf deine antworten reagieren kleiner möchtegern facebook Sheriff.";"nothing"
"8284";855110407860717;"Jepp, BAGIDA wird sich daran orientieren.";"nothing"
"1225";862087190496372;"Karla,wir lieben dich??...";"nothing"
"5189";876413392397085;"Jede Minute ein neuer tragischer Einzelfall, das Blut an den Händen der 68 er rot-grünen Linksverbrecher: http://ingolstadt-today.de/lesen--zwei-jogger-brutal-mit-dem-messer-niedergestochen%5B14915%5D.html";"nothing"
"9033";1007132102658546;"Ik raad dat de vluchtling hebben geen geld de boodschappen te doen in europees sipermarkt.Omdat ze geen recht hebben.Dat moet niet geholpen worden.";"nothing"
"6641";1012441112127645;"Frank Voelker Mohammed!";"nothing"
"4611";1105697802801975;"Das geht schief!";"nothing"
"8434";855502084488216;"Aber !
Das Wort ""Kanake"" ist  noch lange nicht so schlimm  wie die massive Verletzung  der Gefühle ganzer Völker !
Außerdem besagt Kanake in einschlägiger Relevanz nix anderes als das Wort Deutscher !
> Angehöriger eines Volkes !";"nothing"
"8435";855628534475571;"Nein. das haben Sie falsch verstanden: Ich habe nicht gesagt, Pegida ist rechtsradikal. Ich habe gesagt, da laufen Rechte und Rassisten mit. Und das, was hier so an Kommentaren zusammen kommt, ist nicht konservativ, sondern rechts-gerichtet und rassistisch. 
Ich habe nicht gesagt, dass das auf alle zutrifft. 
Aber es finden sich leider zu wenige hier, die genau das auch mal zugeben würden...";"nothing"
"7309";925627200809037;"Pegida wird weiter Leben.Wartet mal den Herbst ab.";"nothing"
"2127";1052518578119898;"Liebe Polizei, wir waren und sind schon immer friedlich. Halte uns bitte den linken Mobb vom Hals und beschütze unsere Autos.";"nothing"
"6852";1012908685414221;"Warum Seehofer nicht davongejagt wird? Ich halte das für ein abgekartetes Spiel. Seehöfer brüllt wie ein Löwe und agiert wie ein Kätzchen. So soll der traditionellen Klientel der CDU / CSU wohl signalisiert werden: ""Ihr habt bei uns noch eine Heimat"". Ich halte es schlichtweg für den Versuch, bei den nächsten Wahlen Stimmen für diese Partei zu sichern, die sich sonst aus gefühlter (und leider tatsächlicher) Alternativlosigkeit der AfD zuwenden.";"criticism"
"3604";1035127713192318;"Peterchen, hast halt glück gehabt, auf der westlichen seite geboren zu sein. Mehr nicht.";"nothing"
"1111";1064307310274358;"ihr sachsen seid stark und klug,das halt ihr locker aus";"nothing"
"1044";1063803303658092;"Diese Karte ist zugleich auch eine Karte über den Anteil von Migranten in den Ländern. Hier scheint bereits die Strategie von Thomas Barnett IQ=90 erste Früchte zu tragen.";"nothing"
"6781";1012937435411346;"Hast du den Koran überhaupt gelesen?  Hast du die Bibel gelesen? Und die wichtigste Frage wieso interessiert dich was da drin steht? Der Unterschied liegt darin das wir die Bibel nicht mehr wortwörtlich nehmen. Vergleichbar könnte man sagen die moslems mit ihrem Koran dümpeln noch im Mittelalter rum , während wir diese Zeit längst hinter uns gelassen haben.";"nothing"
"1747";1111453328893089;"Der hat doch keinen mehr, hat ihm doch eine Frau abgelutscht.";"nothing"
"1472";862014803836944;"https://www.facebook.com/video.php?v=789409644476072&set=vb.775739042509799&type=2&theater";"nothing"
"5202";876827825688975;"Es ist ein fataler Irrtum zu glauben, dass die zu geringe Geburtenrate von 1,4 der Europäer nur durch Import von Menschen zu lösen ist. Folgen:
1. Zerstörung der Europäischen Kultur und Identität!
2. Ausdünnung der Bevölkerung in den Herkunftsländern (die alten und schwachen bleiben, die jungen gehen).
Die Geburtenrate von Europäern von 1,4 zeigt eine Diskriminierung der Frauen und der Familien. Logischer Weise sind damit die Bedingungen für europäische Familien und Frauen müssen so lange zu verbessern bis die Geburtenrate wieder knapp über 2 ist.
Nicht Wirtschaftswachstum sondern die Geburtenrate ist ein Maß dafür wie gut es der Bevölkerung geht.";"nothing"
"55";1066205643417858;"Die Sachsen die sind helle das weiß die ganze Welt und sind sie mal nicht helle dann haben sie sich verstellt!";"nothing"
"4923";876631015708656;"Bei uns in Berlin, hat es Monate gedauert, bevor geräumt wurde.Mit Zelten fing es auch an, danach bauten sie sich Breterbuden, wie in Afrika. Ihr habt ab Heute, eine neue Touristik Atraktion! Bedankt euch bei den Antifanten!!!";"criticism"
"4585";1096062980432124;"Vollgas und drüber =D";"nothing"
"3119";1057130510992038;"Dafür zahlen wir nun unsere Steuern, anstatt Schulen und Kindergärten zu sanieren und uns wieder eine Zukunft zu geben.  :(";"criticism"
"594";1152555658116189;"Na das ist doch mal was, Gesinnungsschnüffelei,Denunziantentum,Sippenhaftung usw.armes Deutschland mit einer selbst herrlichen ""Elite""";"nothing"
"6027";855042221200869;"Wen meinst du mit Klugscheisser des Westens ? Ich hoffe nicht generell alle ""Wessis"". Ich rede seit Wochen mit vielen über das Thema und konnte bestimmt auch einige überzeugen das Pegida nicht braun ist.";"nothing"
"408";1152549161450172;"Was sagt die zuständige Gewerkschaft dazu?";"nothing"
"4512";1105431132828642;"Ekelerregend";"nothing"
"7043";935386609833096;"Bin dafür...";"nothing"
"1355";876248552413569;"Diese geistigen Tiefflieger begreifen es immer noch nicht bzw. wollen es schlicht nicht. Ein Konstrukt aus Selbstbelügung, Hinterhältigkeit, Medienzensur, Diffamierung und Diktatur was in Deutschland / EU gerade abgeht.";"criticism"
"7846";957665577605199;"weiter so leute. solidarische grüse aus berlin";"nothing"
"1800";1120456831326072;"Ist das nicht die Bürgermeisterin, die gegen den Drogenhandel im Görlitzer Park die Büsche abholzen liess? Durch solche Leute können diese Zustände erst entstehen!";"criticism"
"3687";1035122989859457;"Und wenn morgen Wahlen wären, welche Partei würden Pegida-Anhänger wählen? 

Ist da man am Ende auch einer Meinung oder tun die Stimmen sich da splitten? 

Opposition ist nichts verkehrtes... Ich selber bin nicht sehr informiert über die Pegida, außer das ein oder andere mal über die Medien. 

Aber eine Islamisirung des Abendlandes wird es nicht heute und auch nicht morgen geben, dass sollte jedem logisch denkenden Menschen klar sein.. 

Auch wenn es im Augenblick mit den Islamisten in Deutschland Schwierigkeiten gibt..";"nothing"
"2204";1056478657723890;"Da fehlen noch Hirnlos Künast, Marionetten Altmeyer und der GAUCKler";"agitation"
"3490";982663445105412;"So wie  die Flüchtlinge sich in Ungarn Aufführen, so werden die sich in Deutschland aufführen. Kein Respekt vor Staatsgrenzen und dies sind unsere neuen Fachkräfte.Pfui kann man da nur sagen,sowas Respektloses geht garnicht. Und von dem Dummfunk werden die noch als Opfer dargestellt. Ich möchte mal die Merkeln sehen wenn ein normaler Bürger über der ihren Zaun klettert oder mit Steinen und Flaschen werfen würden. Ich hoffe Orban bleibt Standhaft !";"criticism"
"3459";982654975106259;"Ungarn zeigt, wie es geht! ??";"nothing"
"8493";855111357860622;"Nicht nur Spinner sondern Verräter am Volk >> siehe die Beiträge >>   
https://www.facebook.com/pages/Bürger-aufpassen/689298741182857?sk=timeline";"nothing"
"6387";882701768434914;"wenn es dich so stark berührt Bernhard Enzi dann übernimm doch die Bestattungskosten anschließend nimm dir ein paar von denen mit nach Hause und gib ihnen freie Kost und Logis !";"nothing"
"8845";945848208786936;"Das ist nicht nur das Problem bei dem momentanen Geschehen mit der Flüchtlings-Problematik, dass die Deutschen immer nur Schlucken und kaum sich trauen zu organisieren und gegen diese Politik und deren Anhänger (Diese hilfsbereiten Gut-Menschen) vor zu gehen, sondern es fängt schon an bei dem Stromthema wo wir Deutsche von den 4 Machtkonzernen verarscht werden und wir weiter die Zeche zahlen, für was? Weil die großen Stromfresser Konzerne immer noch nichts an Stromabgaben zahlen tun. Weil diese Konzerne dann der Politik damit drohen, Arbeitskräfte zu entlassen, obwohl diese Konzerne mit den größten Stromverbräuchen X-Milliarden Euro's Jahr für Jahr auf den Rücken der geschundenen Angestellten verdienen, Angestellte die sich mit lebensunwürdigem Lohn abspeisen lassen. Angestellte die eingeschüchtert sind, von Politik und Co., dass man Absinkt ins Bodenlose, wenn man keine Arbeit hat usw.! Deswegen traut sich bei dem Thema ""Strom und Stromkonzerne"" keiner das Mundwerk auf zu machen.
Das selbe ist auch mit dem Arbeitsmarkt, angeblich 2,7 Mio. Arbeitslose nur, aber keiner hinterfragt sich, wie kommt das zustande?! Es werden X-Vollbeschäftigungen mit Lebenswürdigem Lohn aufgelöst und dafür Niedriglohn-Jobs geschaffen. Was das schafft könnt Ihr Euch selbst denken. Man muss um überhaupt überleben zu können, evtl. gleich mehrere Jobs annehmen und von den rechtlich zustehenden 14 Std. Freizeit am Tag, bleibt höchstens am Ende noch die Zeit wo man im Bett liegt und pennt.

Und das sind nur 2 Themen, was in Deutschland nicht richtig funktioniert.

Aber der deutsche Bürger schluckt weiterhin und hält schön brav sein Mund... *kopfschüttel";"criticism"
"1325";862104167161341;"Siko Demo am Samstag in München.....";"nothing"
"7794";960863793952044;"Auch in Dortmund sind die Turnhallen belegt.";"nothing"
"1666";1106865496018539;"Keine muschee,keine minaretten,keine islamisten.";"nothing"
"4090";985458228159267;"Unglaublich.  Aber noch zu wenig";"nothing"
"5130";876416965730061;"USie verarschen uns, weil sie uns Alle für dumm halten!!!! Wir haben alles zu glauben was sie uns sagen.Wer eine andere Meinung hat als sie, wird fertig gemacht";"nothing"
"8197";855126064525818;"Dann ist doch alles im bunten Bereich, [@IND], [@IND], [@IND] [@IND], nur sollte langsam ein Zusammenhalt stattfinden. Diesen erkenne ich nicht. Jeder versucht sein eigenes Süppchen in der Politik zu brauen und wir bleiben trotzdem die ewig Angeschissenen.";"criticism"
"3444";982645355107221;"Die bringen ihren Krieg mit hierher. :-(";"nothing"
"3865";1035127179859038;"Geht mir genauso, alle schimpfen, keiner tut was. Notfalls sich die Finger wund schreiben.";"nothing"
"6825";1012292688809154;"Es ist aber nicht nett, so über Ihre Pegida- Kollegen zu sprechen...";"nothing"
"8118";962255943812829;"und das finde ich auch mehr als befremdlich ... https://www.facebook.com/KeinDank/videos/1473987392898293/?hc_location=ufi";"nothing"
"3364";982643691774054;"Die Kinder sterben im Sinne Allahs. Totale Scheisse . Ich habe Angst.";"nothing"
"3582";982648198440270;"Gequält ????";"nothing"
"7342";887993301239094;"Dann wird es bald EU Sanktionen gegen Frankreich geben so wie damals gegen Österreich";"criticism"
"5945";855041814534243;"Vaga hast nicht gelesen Promis geben auf der anderen Seite ein Konzert . Da wird nichts passieren ,Außer das auf den Straßen Stau herrscht ,.";"nothing"
"6749";1012374708800952;"Egal wie den Striezelmarkt jemand nennen möchte, bald heißt er Wintermarkt. Aus Rücksicht. ??";"nothing"
"4070";985356564836100;"Bitte wieder Zahlen aus Dresden";"nothing"
"4805";1105766226128466;"nu in die Elbe baun damit der Rotz glei weggespült wird";"nothing"
"5991";855016267870131;"Grosses Kino wieder seitens Gegner angesagt mit Grönemeyer, Silli etc";"nothing"
"2285";1056479314390491;"Bevor ich auch nur einen dieser "" Pappnasen "" auf dem Foto meine Stimme gebe, eher friert die Hölle ein und wenn der Teifl bettelt bei mir um nen warmen Sitzplatz, aber denen die uns tag täglich belügen, betrügen, verarschen die Zunkunft unsere Kinder zerstören und unserem Land Schande bereiten...NIEMALS !!!!!!!!!";"agitation"
"6009";855029561202135;"Ja wer is denn nun das Orga Team?";"nothing"
"5530";1012262455478844;"Der hieß doch schon immer so oder????";"nothing"
"1793";1111307668907655;"Es sollte bundesweit eingeführt werden, nur noch Sachleistungen und ein kleiner Betrag auf die Karte !!!!
Das ist mehr, als manch Deutscher zur Verfügung hat ??";"nothing"
"2641";982724325099324;"Anke Schneider- warum schämst du dich ?? über Pegida oder der Merkel ?????";"nothing"
"797";1063665687005187;"Endlich mal schmunzeln,das tut gut! (y)";"nothing"
"2056";1112130495492039;"Kann man nur begrüßen :)";"nothing"
"9210";991241917580898;"http://www.frauenkirche.de/index.php/webcam";"nothing"
"3072";1056932061011883;"Maasen bei Diepholz? Dann zieh ich da hin.";"nothing"
"4267";989186661119757;"Lustig ist das keine Kommentare mehr geschrieben werden können bei der Ausgabe! Komisch";"nothing"
"9086";1010179405687149;"Wir wollen in unserer Heimat keinen nahen Osten, keine rückständige muslimische Gesellschaft, die uns ihre Konflikte aufzudrücken sucht! Multikulti soweit okay, wenn sich diese Ausländer unseren Werten anpassen und unsere Demokratie und das GG akzeptieren, sonst bitte woanders hin!";"nothing"
"6270";882743698430721;"Schwarzer Humor, Rezan.
Einfach nur, tief schwarzer Humor.
Und der sei ihnen mehr als gestattet, bei dem was hier los ist.
Sei lieber froh, dass es nur schwarzer Humor ist.";"nothing"
"5960";854996584538766;"Sehr gut...nicht aufgeben";"nothing"
"179";1065828316788924;"Ich würde es begrüßen wenn EMNIT, FORSA und die anderen Wahlprognosenwunschdenker, vom Verfassungsschutz beobachtet werden würden. Was mich besonders ärgert, ist die Tatsache, dass ich GEZ bezahlen muss. Was ich für dieses Geld bekomme ist z. Bsp. das Gesicht von Merkel und die vielen anderen. Ich schalte ab oder um, da ich es nicht mehr ertrage, bezahlen muss ich dennoch, das finde ich nicht fair. Ich bin dafür, dass am Fernsehapparat  ein GEZ-Zähler angebracht wird, damit jeder nur das bezahlt was er ""geliefert"" bekommt. Eventuell noch so etwas wie eine Ampel am GEZ-Zähler, damit der Betrachter wählen kann zwischen gut, schlecht oder so la la. Die ""Aus-Taste"" sollte verknüpft werden mit unterlassener Berichterstattung.

Beispiel: In Mecklenburg-Vorpommern wird Frau Merkel mit einer Demo ""begrüßt"" mit dem Inhalt ""Merkel muss weg"". Da es nicht im ""öffentlich rechtlichen"" (diese Aussage finde ich allerdings für bedenklich, da es eher richtig währe ""öffentliche unterlassener Berichterstattung"") gesendet wird, müsste hier eine Gebühr fällig werden oder eine Strafe. Die Mindeststrafe sollte nach meinem dafür halten mindestens doppelt so hoch sein wie eine Quartalsgebühr der GEZ. Es ist selbstverständlich, dass diese Strafegebühr nicht an eine Organisation gezahlt wird, sondern pro GEZ ""Kunde"".";"criticism"
"2989";1057041454334277;"OK 127 - immerhin mit einem male!!! In der gleichen Zeit wie der Flug dauerte sind sicherlich über 2000 neue Flüchtlinge zu uns gekommen. Wieso überhaupt Flug??? Sollen doch gehen, wie sie gekommen sind. Zu Fuß! Oder es sollte jeden deutschen Steuerzahler auch sein Urlaubsflieger bezahlt werden. Obwohl man traut sich ja eh nicht mehr in s Ausland zu fliegen!";"criticism"
"5485";1010194965685593;"Das Hacker-Kollektiv Anonymous hat dem IS nach den Attentaten in Paris den Krieg erklärt. In einem französischsprachigen Video sagt ein Sprecher, der sich als Mitglied des Kollektivs ausgibt, an den IS gerichtet: ""Wir werden den größten Einsatz aller Zeiten gegen euch vornehmen. Macht euch auf massive Cyberattacken gefasst. Der Krieg ist erklärt. Seid vorbereitet."" Was Anonymous konkret plant, verrät er allerdings nicht.";"nothing"
"164";1069147403123682;"#Russia and #Syria weaponising #refugee crisis to destabilise #Europe
http://www.savemysweden.com/russia-and-syria-weaponising-refugee-crisis-to-destabilise-europe/";"nothing"
"1397";874456845926073;"Wäre es nicht noch sinnvoller, du würdest dich mal mit dem korrekten Setzen von Satzzeichen befassen... ???";"nothing"
"190";1066619740043115;"Wohl eher politische Manipulation.";"criticism"
"4415";991237010914722;"Ihr seid Deutschland  
Einfach Hammer";"nothing"
"6466";882801968424894;"So sieht die kulturelle Bereicherung aus.";"nothing"
"2563";982690891769334;"Wenn Österreich die Grenze dicht machen würde könnten sie nix weiter leiten.";"nothing"
"6550";882706415101116;"Eigentlich traurig was du da berichtest...aber wenn das mit dem Begrüßungsgeld so stimmt dann nicht verwunderlich
...";"nothing"
"5492";1010236159014807;"Hut ab ??!";"nothing"
"4469";1105678036137285;"Na das ist ja ein lustiges Unterfangen von denen, ich sehe schon die ersten toten Schweine am Minarett hängen. ??";"nothing"
"1751";1120177308020691;"Medien sollen neutral sein, leider sieht es anders aus. Ist wie mit dem Bückegauckler.";"criticism"
"1671";1112118485493240;"Falsch. Nur die, die sich selbst verpflegen müssen, kriegen die um die 360Euro/Monat ausbezahlt. die anderen, die in der Gemeinschaftsunterkunft und am Catering hängen, kriegen (nur) rund 135 Euro.";"nothing"
"8291";855535921151499;"http://www.schweizmagazin.ch/wirtschaft/21924-Schweizerische-Nationalbank-lsst-den-Euro-fallen.html";"nothing"
"5404";1010706492301107;"??";"nothing"
